DEPARTAMENTO,PROVINCIA,UBIGEO,SEXO,TIPO_CONTRATO,MATERIAL_PISOS,MATERIAL_TECHOS,MATERIAL_PAREDES,NINOS_ASISTEN_COLEGIO,SITUACION_EDUCATIVA_ESPERADA,SIN_SEGURO,ESTRSOCIAL,POBREZA,ANIO,MES,GASTO_ALIMENTOS_HOGAR,GASTO_ELECTRODOMESTICOS,INGRESO_JUNTOS,INGRESO_PENSION65,HORAS_SEMANA_OCUP_PRINCIPAL,INGRESO_TOTAL,NUM_HABITACIONES,EDAD,SERVICIOS_BASICOS,RECIBIO
AMAZONAS,UTCUBAMBA,10705,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,0.0,0.0,0.0,56.0,840.0,3,50,No,No
HUANUCO,AMBO,100205,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,52.7219114303589,1190.0,0.0,48.0,1558.0,3,36,No,No
APURIMAC,AYMARAES,30415,0,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Debería estar en superior,No,Rural,No Pobre,2018,12,0.0,0.0,0.0,0.0,40.0,800.0,1,23,No,No
LIMA,CAÑETE,150501,0,Plazo fijo,Piso de cemento,Materiales tradicionales o semi-informales,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,15.8105068206787,0.0,0.0,40.0,720.0,1,27,Sí,No
LIMA,CAÑETE,150501,1,Sin contrato,Piso de cemento,Materiales semi-formales o industriales ligeros,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,Rural,No Pobre,2018,12,0.0,61.3335952758789,0.0,0.0,40.0,720.0,4,53,Sí,No
APURIMAC,ABANCAY,30101,1,Plazo fijo,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,454.396919250488,0.0,0.0,10.0,200.0,5,47,Sí,No
APURIMAC,ABANCAY,30101,0,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,125.598676204681,0.0,0.0,40.0,1260.0,3,45,Sí,No
APURIMAC,ABANCAY,30101,1,Indefinido,Piso de cemento,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,D,No Pobre,2018,12,0.0,136.120292663574,0.0,0.0,48.0,950.0,3,57,Sí,No
APURIMAC,ANDAHUAYLAS,30204,1,Sin contrato,Piso precario o sin acondicionar,Materiales semi-formales o industriales ligeros,Materiales tradicionales de tierra,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,Pobre No Extremo,2018,12,0.0,0.0,0.0,0.0,24.0,180.0,1,31,No,No
APURIMAC,ANDAHUAYLAS,30204,0,CAS,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,E,No Pobre,2018,12,0.0,101.661375999451,0.0,0.0,40.0,1500.0,6,45,Sí,No
AREQUIPA,AREQUIPA,40103,1,Indefinido,Pisos formales de alto acabado,Materiales estructurales formales,Materiales formales o resistente,Asisten,Adulto (25+) sin matrícula — no aplica,No,A,No Pobre,2018,12,0.0,0.0,0.0,0.0,25.0,930.0,5,33,Sí,No
